เลขทะเบียนโรงงานเดิม,เลขทะเบียนโรงงานใหม่,รหัสประเภท,ประเภทหรือชนิดของโรงงาน,จำพวก,ปีที่อนุญาต,ชื่อโรงงาน,ผู้ประกอบการ,ประกอบกิจการ,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,จังหวัด,รหัสไปรษณีย์,คนงานรวม,แรงม้า,เงินทุนรวม (ล้านบาท)
3-105-119/48,1.01002E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,48,บริษัท ศิวลัยรียูสเอเบิ้ล จำกัด,บริษัท ศิวลัยรียูสเอเบิ้ล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษกระดาษ อัดเศษพลาสติก และตัดเศษโลหะ,51,,แสนสบาย,,คลองตัน,คลองเตย,กรุงเทพมหานคร,10110,20,130,13.2
3-105-79/65,1.01002E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,65,บริษัท ที.พี.สหมิตร กรุ๊ป จำกัด,บริษัท ที.พี.สหมิตร กรุ๊ป จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,"โฉนดที่ดินเลขที่ 103186,103187,103188,103193,103194",,,วัดสุขใจ,ทรายกองดิน,คลองสามวา,กรุงเทพมหานคร,10510,20,1188,35
3-105-84/60,1.01E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,60,บริษัท ชนะชัย รีไซเคิล กรุ๊ป จำกัด,บริษัท ชนะชัย รีไซเคิล กรุ๊ป จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,19,,ประชาร่วมใจ 59,ประชาร่วมใจ,ทรายกองดินใต้,คลองสามวา,กรุงเทพมหานคร,10510,40,5368,137.7
3-105-7/68,1.01E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,68,บริษัท ส.สมหมาย ค้าเหล็ก จำกัด,บริษัท ส.สมหมาย ค้าเหล็ก จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,14,,,,สามวาตะวันตก,คลองสามวา,กรุงเทพมหานคร,10510,20,1778,66
3-106-53/67,1.01002E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,67,บริษัท ที.พี.สหมิตร กรุ๊ป จำกัด,บริษัท ที.พี.สหมิตร กรุ๊ป จำกัด,ผลิตเชื้อเพลิงแข็งจากวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย (SRF) ปอกและบดย่อยเศษสายไฟที่ไม่เป็นของเสียอันตราย,"โฉนดที่ดินเลขที่ 103186,103189,103190,103191,103192",,,วัดสุขใจ,ทรายกองดิน,คลองสามวา,กรุงเทพมหานคร,10510,20,360,35
3-105-48/59,1.01E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,59,ธวัช รีไซเคิล,ธวัช รีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,743/7,,เสือใหญ่อุทิศ,รัชดาภิเษก,จันทรเกษม,จตุจักร,กรุงเทพมหานคร,10900,10,228.5,12.9
3-105-46/66,1.01001E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,66,นายธนากฤต ยิ่งรัตนเดช,นายธนากฤต ยิ่งรัตนเดช,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,20/224,,เสือใหญ่อุทิศ,รัชดาภิเษก,จันทรเกษม,จตุจักร,กรุงเทพมหานคร,10900,4,460,1.5
3-105-22/59,1.01001E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,59,บริษัท กวงเซ่งหลี จำกัด,บริษัท กวงเซ่งหลี จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,88/71-72,3,กำนันแม้น,เอกชัย,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,10150,14,585,5
3-105-8/62,1.01E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,62,,นายสิทธิชัย เอื้อโภศิณธ์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,114/3,11,,,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,10150,50,264,20
3-105-57/61,1.01001E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,61,บริษัท ตั้งซุ่ยเฮง จำกัด,บริษัท ตั้งซุ่ยเฮง จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,88/164,3,กำนันแม้น,เอกชัย,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,10150,29,745,185
3-105-14/68,1.01E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,68,บริษัท เอส. พี. พลาสติก อินดัสตรี จำกัด,บริษัท เอส. พี. พลาสติก อินดัสตรี จำกัด,โรงงานคัดแยกวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย,39,,ประชาอุทิศ 75,,ทุ่งครุ,ทุ่งครุ,กรุงเทพมหานคร,10140,10,125.24,15
3-105-71/59,1.01001E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,59,บริษัท เอส.เอช.เปเปอร์ จำกัด,บริษัท เอส.เอช.เปเปอร์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,9,,พุทธบูชา 36 แยก 1,พุทธบูชา,บางมด,ทุ่งครุ,กรุงเทพมหานคร,10140,17,589,20
3-101-1/38,1.01023E+13,10100,โรงงานปรับคุณภาพของเสียรวม (Central Waste Treatment Plant),3,38,บริษัท โอสถสภา จำกัด (มหาชน),บริษัท โอสถสภา จำกัด (มหาชน),"บำบัดน้ำทิ้งรวม ได้ 4,800 ลูกบาศก์เมตร/วัน",348,,,รามคำแหง,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,10240,5,270.68,20
3-101-1/47,1.01011E+13,10100,โรงงานปรับคุณภาพของเสียรวม (Central Waste Treatment Plant),3,47,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด (มหาชน),บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด (มหาชน),ปรับคุณภาพของเสียรวม,1,3,แสมดำ 17,พระรามที่ 2,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,23,862.2,127.5
3-101-2/38,1.01033E+13,10100,โรงงานปรับคุณภาพของเสียรวม (Central Waste Treatment Plant),3,38,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด (มหาชน),บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด (มหาชน),ปรับคุณภาพของเสียรวม คัดแยกวัสดุที่ไม่ใช้แล้ว ตามประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และประกอบกิจการทำวัสดุและเชื้อเพลิงผสมจากของเสียประเภทต่าง ๆ (BLENDING),1,3,แสมดำ 17,,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,82,439,5
3-105-13/60,1.01002E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,60,บริษัท วาไรตี้ อินเตอร์พลาส จำกัด,บริษัท วาไรตี้ อินเตอร์พลาส จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,โฉนดที่ดินเลขที่ 101,,,,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,10150,40,371,120
3-105-53/54,1.01001E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,54,บริษัท รีไซเคิลเดย์ จำกัด,บริษัท รีไซเคิลเดย์ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และอัดเศษกระดาษ,4,,,แสมดำ,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,2,485,2
3-105-14/59,1.01001E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,59,บริษัท ดี เมทัล พลัส จำกัด,บริษัท ดี เมทัล พลัส จำกัด,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย,547,,,พระราม2,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,8,1053,78
3-105-86/61,1.01E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,61,นายปรีชา ธนงค์,นายปรีชา ธนงค์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,11,,บางกระดี่ 43,,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,15,283,22.5
3-105-54/59,1.01001E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,59,บริษัท ช.รุ่งทรัพย์ จำกัด,บริษัท ช.รุ่งทรัพย์ จำกัด,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย,597,,,พระราม 2,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,9,426.5,12.3
3-105-8/63,1.01E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,63,บริษัท ส.รุ่งสุริยา จำกัด,บริษัท ส.รุ่งสุริยา จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,โฉนดเลขที่ 149201,,,,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,10150,14,660,14.5
3-105-64/67,1.01001E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,67,ป.ประสบผล,ป.ประสบผล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,โฉนดที่ดินเลขที่ 96370,,บางกระดี่ 43,บางกระดี่,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,15,320,17
3-105-60/60,1.01E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,60,นายการัณย์ อัครกุลพรรณ,นายการัณย์ อัครกุลพรรณ,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,89,,บางกระดี่ 19,,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,30,435,37.5
3-105-39/59,1.01001E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,59,บริษัท ดี เมทัล พลัส จำกัด,บริษัท ดี เมทัล พลัส จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,549,,,พระรามที่ 2,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,6,91,29
3-105-73/59,1.01001E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,59,บริษัท ส.พัฒนาเปเปอร์ จำกัด,บริษัท ส.พัฒนาเปเปอร์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,22,,แสมดำ 5,แสมดำ,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,30,808.18,93
3-105-49/59,1.01E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,59,ห้างหุ้นส่วนจำกัด เค.ไว.เค.เปเปอร์,ห้างหุ้นส่วนจำกัด เค.ไว.เค.เปเปอร์,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย,19,,เทียนทะเล 30,บางขุนเทียน-ชายทะเล,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,10150,21,295,27
3-105-32/54,1.01E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,54,ศรีนคร,ศรีนคร,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,12/239,7,เทียนทะเล 24,บางขุนเทียน-ชายทะเล,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,10150,7,129,8.5
3-105-29/63,1.01001E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,63,บริษัท รุ่งโรจน์ส่องแสง จำกัด,บริษัท รุ่งโรจน์ส่องแสง จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,3-Jan,,อนามัยงามเจริญ 33 แยก 2,,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,10150,21,750,16
3-105-20/62,1.01001E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,62,ห้างหุ้นส่วนจำกัด ยิ่งยงกระดาษ,ห้างหุ้นส่วนจำกัด ยิ่งยงกระดาษ,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,โฉนดที่ดินเลขที่ 137798,,,,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,15,974,82
3-105-58/68,1.01001E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,68,บริษัท ภัคธีรเศรษฐ์ เปเปอร์ จำกัด,บริษัท ภัคธีรเศรษฐ์ เปเปอร์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,21,,บางกระดี่1 แยก9,บางกระดี่,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,6,90,12.18
3-105-54/61,1.01E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,61,นวกลกิจ,นวกลกิจ,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,"16/1,16/2",,บางกระดี่ 1 แยก 9,,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,4,98,12.198
3-106-62/60,1.01E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,60,บริษัท ผลพาณิชย์ จำกัด,บริษัท ผลพาณิชย์ จำกัด,บดย่อยแผงวงจรอิเล็กทรอนิกส์ที่ใช้แล้วและเครื่องใช้ไฟฟ้าเก่า และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,99/231,4,,พระรามที่ 2,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,12,90,1
3-106-59/67,1.01002E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,67,บริษัท ไทย อิโคเทรด จำกัด,บริษัท ไทย อิโคเทรด จำกัด,ถอด แยก บดย่อยชิ้นส่วนคอมพิวเตอร์ ชิ้นส่วนอิเล็กทรอนิกส์ และเครื่องใช้ไฟฟ้าใช้แล้ว เพื่อนำกลับมาใช้ประโยชน์ใหม่,98/2,,เทียนทะเล 24,บางขุนเทียน-ชายทะเล,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,10150,37,197,87.5
3-105-81/48,1.01001E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,48,ซั่งเฮงจั่น,ซั่งเฮงจั่น,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) เช่น เศษโลหะ เศษกระดาษ อัดกระป๋องและตัดโลหะ,3,,โชติวัฒน์ ซอย 14,ประชาชื่น,บางซื่อ,บางซื่อ,กรุงเทพมหานคร,10800,10,255,13
3-105-28/62,1.01001E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,62,,นายจักพรรณ์ มงคลไทยศิริ,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย,7,,เอกชัย 114 (อมรพฤกษ์),,บางบอนเหนือ,บางบอน,กรุงเทพมหานคร,10150,10,204,11
3-105-4/60,1.01004E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,60,บริษัท เจดีย์ไทย สตีล จำกัด,บริษัท เจดีย์ไทย สตีล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,249,,,บางบอน 4,บางบอน,บางบอน,กรุงเทพมหานคร,10150,32,954,115
3-105-19/62,1.01001E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,62,บริษัท นันฟาน เทคโนโลยี 2000 จำกัด,บริษัท นันฟาน เทคโนโลยี 2000 จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,12,,,พรหมราษฎร์,บางบอนใต้,บางบอน,กรุงเทพมหานคร,10150,30,435,3.6
3-105-107/59,1.01E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,59,บริษัท เปเปอร์ แพคกิ้ง จำกัด,บริษัท เปเปอร์ แพคกิ้ง จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,11,,เอกชัย 114 (อมรพฤกษ์),,บางบอน,บางบอน,กรุงเทพมหานคร,10150,13,191,5.5
3-105-84/59,1.01E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,59,วงษ์พาณิชย์บางบอน,วงษ์พาณิชย์บางบอน,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,91,,,กาญจนาภิเษก,บางบอน,บางบอน,กรุงเทพมหานคร,10150,7,55.5,8.7
3-105-20/67,1.01001E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,67,บริษัท เอ็น.พี.เอ็น.เมทัลเวิร์ค จำกัด,บริษัท เอ็น.พี.เอ็น.เมทัลเวิร์ค จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น เศษพลาสติก ไม้ เหล็ก ฯลฯ,91,,พระยามนธาตุแยก 9,,คลองบางบอน,บางบอน,กรุงเทพมหานคร,10150,40,493,43
3-106-34/60,1.01E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,60,บริษัท ยูอาร์ดี อินเตอร์เนชั่นแนล จำกัด,บริษัท ยูอาร์ดี อินเตอร์เนชั่นแนล จำกัด,นำยางรถยนต์ที่ไม่ใช้แล้วมาสับ บดย่อย เพื่อนำกลับมาใช้ประโยชน์ใหม่เป็นวัตถุดิบ,74,,6,บางบอน 4,บางบอน,บางบอน,กรุงเทพมหานคร,10150,10,769.5,80
3-106-61/63,1.01002E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,63,บริษัท เจดีย์ไทย สตีล จำกัด,บริษัท เจดีย์ไทย สตีล จำกัด,ถอดแยก บดย่อย อุปกรณ์เครื่องใช้ไฟฟ้า และอีเลคทรอนิคส์ที่ใช้แล้ว,251,,,บางบอน 4,บางบอน,บางบอน,กรุงเทพมหานคร,10150,9,482,46
3-105-3/60,1.01005E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,60,บริษัท คูซุ่นฮวด จำกัด,บริษัท คูซุ่นฮวด จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,60/50,3,,เสรีไทย,คลองกุ่ม,บึงกุ่ม,กรุงเทพมหานคร,10240,7,234,1.9
3-105-36/65,1.01001E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,65,บริษัท เพิ่มสยาม เทรดดิ้ง จำกัด,บริษัท เพิ่มสยาม เทรดดิ้ง จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย,5,,อ่อนนุช 65 แยก15-4,,ประเวศ,ประเวศ,กรุงเทพมหานคร,10250,50,278,220
3-105-88/59,1.01E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,59,บริษัท คูเซ่งฮวด จำกัด,บริษัท คูเซ่งฮวด จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วไม่เป็นของเสียอันตราย,"25,27",,อ่อนนุช 80,อ่อนนุช,ประเวศ,ประเวศ,กรุงเทพมหานคร,10250,7,119,7
3-105-30/60,1.01001E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,60,บริษัท เอ.ที.อี. เทเลคอม คอนสตรัคชั่น จำกัด,บริษัท เอ.ที.อี. เทเลคอม คอนสตรัคชั่น จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,30/12,11,เฉลิมพระเกียรติ 30,เฉลิมพระเกียรติ,ดอกไม้,ประเวศ,กรุงเทพมหานคร,10250,7,52.5,7
3-106-54/61,1.01001E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,61,บริษัท กรุงเทพธนาคม จำกัด,บริษัท กรุงเทพธนาคม จำกัด,เชื้อเพลิงแข็งจากขยะชุมชน,55/1,,อ่อนนุช 86 แยก 1,,ประเวศ,ประเวศ,กรุงเทพมหานคร,10250,47,2693.21,1370
3-106-10/66,1.01E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,66,บริษัท เอเชีย เมทัล คอปเปอร์ เทรดดิ้ง จำกัด,บริษัท เอเชีย เมทัล คอปเปอร์ เทรดดิ้ง จำกัด,ถอดแยกหม้อแปลงไฟฟ้าบทย่อยสายไฟ-สายเคเบิ้ล บดย่อยแผงวงจรอิเล็กทรอนิกส์ทุกชนิด เก็บรวบรวมแบตเตอรี่ที่ใช้แล้วโดยไม่มีการแปรสภาพ คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,3,,อ่อนนุช 65 แยก 15-4,,ประเวศ,ประเวศ,กรุงเทพมหานคร,10250,50,331,240
3-106-56/65,1.01001E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,65,บริษัท เพิ่มสยาม เทรดดิ้ง จำกัด,บริษัท เพิ่มสยาม เทรดดิ้ง จำกัด,ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นที่ใช้แล้ว และตัวทำละลายที่ใช้แล้ว,7,,อ่อนนุช 65 แยก 15-4,,ประเวศ,ประเวศ,กรุงเทพมหานคร,10250,106,472,222.5
3-106-40/67,1.01001E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,67,โรงงานผลิตน้ำมันเชื้้อเพลิงชีวภาพบีเอสจีเอฟ,โรงงานผลิตน้ำมันเชื้้อเพลิงชีวภาพบีเอสจีเอฟ,โรงงานผลิตน้ำมันเชื้้อเพลิงอาวกาศยานยั่งยืนจากน้ำมันพืชใช้แล้ว,210,,สุขุมวิท 64,,พระโขนงใต้,พระโขนง,กรุงเทพมหานคร,10260,20,44536.95,10012
3-106-11/68,1.01E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,68,บริษัท โฟว์เอเวอร์วัน จำกัด,บริษัท โฟว์เอเวอร์วัน จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดย่อยสายไฟ ถอดแยกหม้อแปลงไฟฟ้า นำน้ำมันเครื่องเก่ามาผ่านกระบวนการกรอง และเก็บรวบรวมแบตเตอรี่ที่ใช้แล้วโดยไม่มีการแปรสภาพ,71,,เทอดไท 74,,บางหว้า,ภาษีเจริญ,กรุงเทพมหานคร,10160,30,309,45
3-101-1/40,1.01033E+13,10100,โรงงานปรับคุณภาพของเสียรวม (Central Waste Treatment Plant),3,40,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),"บำบัดน้ำทิ้งรวมได้ 4,000 ลูกบาศก์เมตร/วัน",48,9,,สุวินทวงศ์,แสนแสบ,มีนบุรี,กรุงเทพมหานคร,10510,10,356,43.1
3-101-4/41,1.01011E+13,10100,โรงงานปรับคุณภาพของเสียรวม (Central Waste Treatment Plant),3,41,บริษัท อาหารยอดคุณ จำกัด,บริษัท อาหารยอดคุณ จำกัด,บำบัดน้ำเสียจากกระบวนการผลิต รวมทั้งกำจัดของเสียอื่นๆ ของบริษัท อาหารยอดคุณ จำกัด และบริษัท ยูนิแชมป์ จำกัด,9,,,นิมิตใหม่,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,10510,1,83.05,8.035
