เลขทะเบียนโรงงานเดิม,เลขทะเบียนโรงงานใหม่,รหัสประเภท,ประเภทหรือชนิดของโรงงาน,จำพวก,ปีที่อนุญาต,ชื่อโรงงาน,ผู้ประกอบการ,ประกอบกิจการ,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,จังหวัด,รหัสไปรษณีย์,คนงานรวม,แรงม้า,เงินทุนรวม (ล้านบาท)
3-105-29/65สป,1.01101E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,65,บริษัท นารายณ์ อินเตอร์แมท จำกัด,บริษัท นารายณ์ อินเตอร์แมท จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย,88/18,12,สุนทรวิภาค,บางพลี-ตำหรุ,บางปลา,บางพลี,สมุทรปราการ,10540,15,275,2.525
3-105-2/62สป,1.011E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,62,บริษัท ดาว สุโขทัย จำกัด,บริษัท ดาว สุโขทัย จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย,88/55,12,,,บางปลา,บางพลี,สมุทรปราการ,10540,5,352.11,5.098
3-105-93/67สป,1.01102E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,67,บริษัท เฟย์ยูส นิว แมททีเรียล จำกัด,บริษัท เฟย์ยูส นิว แมททีเรียล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,โฉนดที่ดินเลขที่ 198479,12,,,บางปลา,บางพลี,สมุทรปราการ,10540,22,276,30
3-105-66/67สป,1.01102E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,67,บริษัท เอส.ที.ไรซิ่ง จำกัด,บริษัท เอส.ที.ไรซิ่ง จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,88/108,12,,,บางปลา,บางพลี,สมุทรปราการ,10540,10,148,25
3-105-100/63สป,1.01103E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,63,บริษัท ดูราโฟม จำักด,บริษัท ดูราโฟม จำักด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,88/66,12,,,บางปลา,บางพลี,สมุทรปราการ,10540,20,123,4.96
3-105-5/65สป,1.011E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,65,นางสาววรางคณา สุขจันทร์เทาะ,นางสาววรางคณา สุขจันทร์เทาะ,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,23/6,13,,,บางปลา,บางพลี,สมุทรปราการ,10540,8,449,5.5
จ3-105-11/51สป,2.01107E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,51,บริษัท เมกา รีซอร์สเซส จำกัด,บริษัท เมกา รีซอร์สเซส จำกัด,คัดแยกวัสดุไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายและทำเม็ดพลาสติก,169,21,ที่ดินไทย,เทพารักษ์,บางพลีใหญ่,บางพลี,สมุทรปราการ,10540,13,423.8,13.5
จ3-105-74/52สป,2.011E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,52,บริษัท น่ำเฮี่ยง พลาสติก จำกัด,บริษัท น่ำเฮี่ยง พลาสติก จำกัด,คัดแยกวัสดุไม่ใช้แล้วชนิดที่ไม่เป็นอันตราย ได้แก่ เศษพลาสติกชนิดต่างๆ และผลิตเม็ดพลาสติกจากพลาสติกใช้แล้ว การปั่น บด ย่อยพลาสติก,79/49,19,ธนสิทธิ์ (รัตนะโชค 12),เทพารักษ์,บางพลีใหญ่,บางพลี,สมุทรปราการ,10540,10,377.26,8
3-105-10/57สป,1.011E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,57,บริษัท มังกร เอส.พี.เค.รีไซเคิล จำกัด,บริษัท มังกร เอส.พี.เค.รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,88/13,12,,,บางปลา,บางพลี,สมุทรปราการ,10540,10,673,7
3-105-107/60สป,1.011E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,60,บริษัท เอ็นทีที.ออโต้ แอนด์ ซัพพลาย จำกัด,บริษัท เอ็นทีที.ออโต้ แอนด์ ซัพพลาย จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,53/11,5,ที่ดินไทย,เทพารักษ์,บางพลีใหญ่,บางพลี,สมุทรปราการ,10540,32,583,39
3-105-25/68สป,1.01101E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,68,บริษัท ถุงเงินศิริ จำกัด,บริษัท ถุงเงินศิริ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,26/6,15,ลาดกระบัง 30/1,อ่อนนุช-ลาดกระบัง,ราชาเทวะ,บางพลี,สมุทรปราการ,10540,9,539,12.8
3-105-55/67สป,1.01101E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,67,บริษัท ที.ซี. สตีล 168 จำกัด,บริษัท ที.ซี. สตีล 168 จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,โฉนดที่ดินเลขที่ 174225,14,,,บางปลา,บางพลี,สมุทรปราการ,10540,11,373,38.5
3-105-97/47สป,1.011E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,47,บริษัท บริลเลียนท์ เมททอล กรุ๊ป จำกัด,บริษัท บริลเลียนท์ เมททอล กรุ๊ป จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,143/353,10,,เทพารักษ์,บางปลา,บางพลี,สมุทรปราการ,10540,18,621,8
3-105-58/49สป,1.011E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,49,นายณัฐวัฒน์ กิจจาธเนศ,นายณัฐวัฒน์ กิจจาธเนศ,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย หลอมหล่อเศษโลหะและตะกรันโลหะ,,3,,หนามแดง-บางพลี,บางแก้ว,บางพลี,สมุทรปราการ,10540,20,3103.91,19.8
3-105-15/60สป,1.011E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,60,เพิ่มพูนทรัพย์รีไซเคิล,เพิ่มพูนทรัพย์รีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,28/59,19,รัตนโชค 12/3,,บางพลีใหญ่,บางพลี,สมุทรปราการ,10540,0,228,2.5
3-105-96/67สป,1.01102E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,67,บริษัท สยามสุวรรณ อินเตอร์เทรด จำกัด,บริษัท สยามสุวรรณ อินเตอร์เทรด จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,88/133,15,,,บางปลา,บางพลี,สมุทรปราการ,10540,10,192,22
